TF list	CRISPR list-Main	CRISPR list-Suppl
Spi1	Kmt2a	Kmt2a
Cebpa	Men1	Men1
Cebpb	Brd9	Brd9
Cebpe	Smarcd1	Gltscr1
Klf4	Smarcd2	Smarcd1
Gfi1	Kmt2d	Smarcd2
Irf8	Cebpa	Phf10
Mef2c		Kmt2d
Gata2		Kdm6a
Gata1		Crebbp
Klf1		Wdr82
Gfi1b		Prmt5
Zfpm1		Prmt1
Mafk		Carm1
Sox6		Smc3
Klf9		Stag2
Lmo4		Smc2
Nfia		Rcor1
Nfix		Chmp2a
Nfe2		Ehmt1
Nfe2l2		Ehmt2
Tal1		Setdb1
Cited4		Setdb2
		Cbx3
		Chd4
		Rbbp4
		Mbd2
		Mbd3
		Hdac1
		Hdac3
		Ash1l
		Ezh2
		Cebpa
		Spi1
		Gata2
		Hmgxb4
