fastqs,sample,library_type
/usr/local/AGFORTELNY//PROJECTS/TfCf/RawData/ECCITE7/,SITTF8,Gene Expression
/usr/local/AGFORTELNY//PROJECTS/TfCf/NewData/ECCITE7_2/,SITTF8,Gene Expression
