Wdr82	Rcor1	Setdb1	Ash1L
Nfix	Procr	Ly6g	Ly6g
Pf4	Hoxa7	Itgam	Cebpa
Gp1bb	Hoxa10	Elane	Hbb-bs
Sox6	Cd34	Cebpe	Hba-a2
Klf2	Lgr4	Mmp9	Tal1
Esam	Thy1	Klfs	Cd34
Ly6c2	Lgals1	Lrg1	
Ly6g	Hbb-bs	Cd34	
Elane	Hba-a2	Irf8	
Mpo	Hba-a1	Hoxa9	
Spi1	Ly6g	Ebf1	
Cebpa	Lrg1	Pax5	
Hba-a1		IL7R	
Hbb-bs		F13a1	
Gfi1b		Csf1R	
Gfi1			
