Gene	CellType
Cd300lg	Mye
Pfkfb3	Mye
Zfp710	Mye
Anxa1	Mye
Rassf3	Mye
Itga8	Mye
Mreg	Mye
Trp53inp2	Mye
Cttnbp2nl	Mye
Mefv	Mye
Msra	Mye
Ptprm	Mye
Cadm1	Mye
Gpm6b	Mye
Fgfr1	Mye
Kcnj16	Mye
Clec7a	Mye
Fblim1	Mye
Arrdc4	Mye
Slc46a3	Mye
Cd14	Mye
AI839979	Mye
Rasgrp4	Mye
Nfkbiz	Mye
Sqrdl	Mye
Cacnb3	Mye
Igsf6	Mye
Pik3cb	Mye
Mmp8	Mye
Anpep	Mye
Ebi3	Mye
App	Mye
2310047M10Rik	Mye
Depdc7	Mye
Pid1	Mye
Acvr1	Mye
Agl	Mye
Cd300lf	Mye
4930506M07Rik	Mye
Axl	Mye
Adam15	Mye
Ccnd1	Mye
Ffar4	Mye
1300002K09Rik	Mye
9830107B12Rik	Mye
Hlx	Mye
Fndc7	Mye
BC039771	Mye
Vnn3	Mye
Batf3	Mye
Lmo1	Mye
Ltf	Mye
Dlc1	Mye
Aatk	Mye
Ston2	Mye
Tbc1d9	Mye
Bmx	Mye
Amer2	Mye
Atg7	Mye
Celf4	Mye
Ly6g5b	Mye
Gpr162	Mye
Apoc1	Mye
Slc15a3	Mye
Rin2	Mye
I830012O16Rik	Mye
Cd302	Mye
Il18bp	Mye
Pygl	Mye
Dscaml1	Mye
Sgip1	Mye
Vill	Mye
Kcnj10	Mye
Pram1	Mye
Tmem38b	Mye
Alox5	Mye
Slc8b1	Mye
Mafb	Mye
Tnfrsf1a	Mye
Gsn	Mye
Fmnl2	Mye
Ffar2	Mye
Rab32	Mye
Atrnl1	Mye
Sh3bp4	Mye
Pianp	Mye
P2ry13	Mye
Ptplad2	Mye
Csf3r	Mye
Ankrd33b	Mye
Pde4dip	Mye
Padi4	Mye
Ifi204	Mye
Slc2a3	Mye
Rgs2	Mye
Arg2	Mye
C5ar1	Mye
Dock4	Mye
Mmp9	Mye
Adora2b	Mye
Hpgds	Mye
Prr13	Mye
Cd101	Mye
Prkar1b	Mye
Wfdc17	Mye
Scamp5	Mye
Atp11a	Mye
Cd300lb	Mye
Zmynd15	Mye
S100a6	Mye
Dmxl2	Mye
Hp	Mye
Litaf	Mye
6430548M08Rik	Mye
Mapk4	Mye
Prom1	Mye
Agpat1	Mye
Eps8	Mye
Msr1	Mye
Frmd5	Mye
Cdhr3	Mye
Nlrp1b	Mye
Kcnj2	Mye
5430435G22Rik	Mye
Rps6ka2	Mye
Lrg1	Mye
Nfam1	Mye
Olfml2b	Mye
Avpi1	Mye
Gpr137b-ps	Mye
Mrc1	Mye
Upp1	Mye
Celsr3	Mye
Myadm	Mye
Pdlim7	Mye
Ier3	Mye
Lima1	Mye
Pglyrp1	Mye
Gcsam	Mye
4632428N05Rik	Mye
Tarm1	Mye
Mgst1	Mye
Ctnnd2	Mye
Hs3st2	Mye
Pilrb1	Mye
Mertk	Mye
Stap2	Mye
Usp35	Mye
Dgki	Mye
Orm1	Mye
B230208H11Rik	Mye
Cygb	Mye
Rnf144b	Mye
Trem3	Mye
Prss30	Mye
Lrrc27	Mye
Chil1	Mye
A530064D06Rik	Mye
Rhov	Mye
Rhou	Mye
Tmem50b	Mye
H2-Q10	Mye
Ppp1r3d	Mye
Pstpip2	Mye
Sema6d	Mye
Cd209d	Mye
Trabd2b	Mye
Flot1	Mye
Sfxn5	Mye
Camp	Mye
Map3k15	Mye
Dysf	Mye
Tmem150c	Mye
G0s2	Mye
Pnkp	Mye
Pgd	Mye
Gm5483	Mye
Ncf1	Mye
Pmaip1	Mye
Ppp1r3b	Mye
Arrb2	Mye
1700047M11Rik	Mye
Mettl9	Mye
Igf1	Mye
Snx21	Mye
H2-M2	Mye
Gpr84	Mye
Mfsd7a	Mye
Mpzl3	Mye
Clec4a2	Mye
Snta1	Mye
Slc22a15	Mye
Adam23	Mye
Clec1b	Mye
Mtus1	Mye
Ptprf	Mye
Mapk13	Mye
F630111L10Rik	Mye
Itgad	Mye
Aph1c	Mye
Lcn2	Mye
2900052N01Rik	Mye
G6pdx	Mye
Siglece	Mye
Chka	Mye
Por	Mye
Cd80	Mye
Slc40a1	Mye
Clec5a	Mye
Ppfibp2	Mye
Sort1	Mye
Syne1	Mye
1810011H11Rik	Mye
Papss2	Mye
Nostrin	Mye
Ralb	Mye
Ccl22	Mye
Galnt3	Mye
Bst1	Mye
Rbm47	Mye
Kitl	Mye
Fam89a	Mye
Nod2	Mye
Tmod2	Mye
Card10	Mye
Esrrg	Mye
Nxpe5	Mye
Sorl1	Mye
C2	Mye
Tnfsf13b	Mye
Ndst1	Mye
Tuba8	Mye
Upb1	Mye
Clmp	Mye
P2ry6	Mye
Fam49a	Mye
Slc1a3	Mye
Mocos	Mye
Man2b1	Mye
Adam22	Mye
Rufy4	Mye
Cebpd	Mye
Rasal2	Mye
Fpr2	Mye
Tlr11	Mye
Creb3l1	Mye
Map3k9	Mye
Ltb4r1	Mye
Il1rn	Mye
Ppp1r14a	Mye
Ptafr	Mye
Dnase1l3	Mye
Mgam	Mye
Pik3r6	Mye
Sash1	Mye
Met	Mye
Clec9a	Mye
C5ar2	Mye
Relb	Mye
Pcolce2	Mye
I830077J02Rik	Mye
Aldh3b1	Mye
Ccl24	Mye
Adap2	Mye
Itga9	Mye
F630028O10Rik	Mye
Gp49a	Mye
Cfp	Mye
S100a11	Mye
Cst3	Mye
Adpgk	Mye
F630206G17Rik	Mye
Crispld2	Mye
Cyp4f16	Mye
Junb	Mye
Tirap	Mye
Dnah2	Mye
Fam149a	Mye
Slc6a6	Mye
Dgat2	Mye
Gpi1	Mye
Sipa1l2	Mye
Csf2rb2	Mye
Ankrd22	Mye
Rps6kc1	Mye
Fmo5	Mye
Mogat2	Mye
Lmo4	Mye
Cpd	Mye
Itgb2l	Mye
R3hdm4	Mye
Gdf15	Mye
Arhgap28	Mye
Hdc	Mye
Frmd4b	Mye
Spon1	Mye
Arid3a	Mye
Tacstd2	Mye
Mir6236	Mye
Gsr	Mye
Lilra6	Mye
AA467197	Mye
Tbc1d2	Mye
Chst13	Mye
Grn	Mye
Lin28a	Mye
Cd177	Mye
Fcnb	Mye
Gm8221	Mye
Tgfbi	Mye
Inhba	Mye
Sik1	Mye
P2ry12	Mye
Oprd1	Mye
Cyp27a1	Mye
Lipa	Mye
Kcnk6	Mye
Ltbr	Mye
Cadm3	Mye
Stard5	Mye
Prok2	Mye
Aldh2	Mye
Mmp25	Mye
2610528A11Rik	Mye
Asah1	Mye
Fam217b	Mye
Olr1	Mye
Tnnt1	Mye
Cxcl10	Mye
Slc16a3	Mye
Cd63	Mye
Actb	Mye
Apba1	Mye
Notch4	Mye
Nudt17	Mye
Crtac1	Mye
Ifnlr1	Mye
Rp2h	Mye
Zfp366	Mye
Pilra	Mye
Dgkg	Mye
Themis2	Mye
Ckap4	Mye
Evi2a	Mye
Il1b	Mye
D17H6S53E	Mye
Kiss1r	Mye
Gca	Mye
Slpi	Mye
Cib2	Mye
Ehf	Mye
Stab2	Mye
Sep-03	Mye
Dstn	Mye
Slc31a2	Mye
Snx24	Mye
Lilrb4	Mye
Naaa	Mye
Ccl6	Mye
Lcp1	Mye
Atf3	Mye
Mrgpra2b	Mye
Cxcl16	Mye
Stfa2l1	Mye
Syngr2	Mye
Slc7a11	Mye
Cyp7b1	Mye
Tlr2	Mye
Ano10	Mye
Nlrp12	Mye
Adora3	Mye
Amz1	Mye
Rogdi	Mye
Pi16	Mye
Sep-10	Mye
Nlrp3	Mye
Apol7c	Mye
C1rl	Mye
Ms4a7	Mye
Arhgap22	Mye
Hspa1a	Mye
Arhgap6	Mye
Rem1	Mye
Nav1	Mye
Cd209a	Mye
Cxcl9	Mye
Dhrs7	Mye
Fam129a	Mye
Rassf4	Mye
Ngp	Mye
Ptgir	Mye
Nr1h3	Mye
Marcks	Mye
Tmem38a	Mye
Pigz	Mye
Tmtc2	Mye
Atxn10	Mye
Lgals3	Mye
B4galt6	Mye
Cebpe	Mye
Scrg1	Mye
Mir7678	Mye
Zbtb42	Mye
Fes	Mye
Slfn4	Mye
Fosb	Mye
Pvrl1	Mye
Cd33	Mye
Gpr124	Mye
Slco4c1	Mye
Nuak1	Mye
Lyz1	Mye
Spi1	Mye
Clec4d	Mye
Ceacam10	Mye
Timd4	Mye
Leprel1	Mye
Lrp4	Mye
Ppfia4	Mye
Ccno	Mye
Mpzl1	Mye
Adam8	Mye
Ccdc63	Mye
Slc27a4	Mye
Megf9	Mye
Trem1	Mye
Timp2	Mye
Slfn2	Mye
Nat8l	Mye
Csf2rb	Mye
Dscam	Mye
1810033B17Rik	Mye
Adam11	Mye
Plaur	Mye
Thbs1	Mye
Gpr4	Mye
Sh3pxd2b	Mye
Serpinb8	Mye
Hmox1	Mye
Ccr1	Mye
Rgl1	Mye
S100a8	Mye
Il12b	Mye
Fstl3	Mye
Adamdec1	Mye
Ifitm6	Mye
Ppt1	Mye
Pla2g7	Mye
Clec4e	Mye
Id1	Mye
Tmem132c	Mye
F5	Mye
Lrrc25	Mye
C3	Mye
Plbd1	Mye
Ptchd1	Mye
Kbtbd7	Mye
Fhod1	Mye
Vcam1	Mye
Acta2	Mye
Asprv1	Mye
Slco5a1	Mye
Fndc5	Mye
Cd300c	Mye
1100001G20Rik	Mye
Pabpc1l	Mye
Rnd3	Mye
Dgat1	Mye
Glrx	Mye
Prss16	Mye
Gm10872	Mye
Ahr	Mye
Anxa3	Mye
Rab3d	Mye
Msrb1	Mye
Gys1	Mye
Ckb	Mye
Rab44	Mye
Gpr126	Mye
Fut4	Mye
Rims3	Mye
Aph1b	Mye
Hk2	Mye
Slc6a12	Mye
Tmem86a	Mye
Pira1	Mye
Il1f9	Mye
Xcr1	Mye
Tbc1d8	Mye
1600010M07Rik	Mye
Slamf8	Mye
Niacr1	Mye
Ptgs1	Mye
2010002M12Rik	Mye
Rnd1	Mye
5430421N21Rik	Mye
Retnlg	Mye
Pilrb2	Mye
Lifr	Mye
Asb2	Mye
Plxnc1	Mye
Zfp36	Mye
Vstm4	Mye
Fbxl5	Mye
Cmbl	Mye
Akr1b7	Mye
Abca13	Mye
Klk1	Mye
Lyz2	Mye
Mir147	Mye
Sgms2	Mye
Epb4	Mye
Cfb	Mye
Myo1h	Mye
Il1r2	Mye
Mab21l3	Mye
Ppp1r42	Mye
Negr1	Mye
Bcl2l14	Mye
Pak1	Mye
Cxcr2	Mye
Ccdc148	Mye
Cdc42ep2	Mye
Scn3a	Mye
Scnn1a	Mye
Alox5ap	Mye
Ncf2	Mye
Pirb	Mye
Osgin1	Mye
Ap5b1	Mye
9830166K06Rik	Mye
Spint1	Mye
Spats2	Mye
Aif1	Mye
Slc22a20	Mye
Fos	Mye
Ptgis	Mye
Lpcat2	Mye
Tnfrsf11a	Mye
Mboat7	Mye
Cldn15	Mye
Rnf149	Mye
C6	Mye
Klra17	Mye
Fcgr3	Mye
Pla2g2d	Mye
Adap1	Mye
Dnah6	Mye
Fscn1	Mye
Marco	Mye
Rab31	Mye
Chil3	Mye
Dhrs9	Mye
Fpr1	Mye
Fosl2	Mye
Tpd52	Mye
Abhd12	Mye
Dusp3	Mye
S100a4	Mye
Psap	Mye
Zeb2os	Mye
Cebpa	Mye
Deptor	Mye
Epx	Mye
Ifi27l2a	Mye
Zfyve28	Mye
Mgl2	Mye
E230029C05Rik	Mye
LOC100038947	Mye
Fcgr2b	Mye
Ip6k3	Mye
Fn1	Mye
Mx2	Mye
Arhgef37	Mye
Cfh	Mye
Cd300a	Mye
Prg2	Mye
Cysltr1	Mye
Tifab	Mye
Tmem150b	Mye
Vcan	Mye
Idh1	Mye
Ctbp2	Mye
Serpina11	Mye
Prg3	Mye
Gm5431	Mye
Emr1	Mye
Siglec1	Mye
Stard8	Mye
Irak3	Mye
Anxa5	Mye
Lpl	Mye
Serpinb10	Mye
Mapkapk2	Mye
Camk1	Mye
Gm5150	Mye
0610040J01Rik	Mye
Ugt1a5	Mye
Lamp2	Mye
Bmf	Mye
Rgag4	Mye
Ticam2	Mye
Cmtm3	Mye
Rnpep	Mye
Nrp2	Mye
Rwdd2a	Mye
Tspan17	Mye
Itfg3	Mye
Plxnb2	Mye
Flt1	Mye
Irf5	Mye
H2-Aa	Mye
Klra2	Mye
Ccdc109b	Mye
Ctss	Mye
Tmem106a	Mye
Lsr	Mye
Alox12e	Mye
Fcgr1	Mye
Ptpro	Mye
Fkbp1b	Mye
Ccdc88a	Mye
Sowahc	Mye
Npc2	Mye
Tcea3	Mye
Galnt9	Mye
Plod3	Mye
Csf2ra	Mye
Scarb1	Mye
Prkcd	Mye
Slc12a9	Mye
Tppp3	Mye
Lacc1	Mye
Oas2	Mye
Rspo1	Mye
Ugt1a1	Mye
Abca9	Mye
Ugt1a6b	Mye
Kank3	Mye
Rnf150	Mye
Ctsh	Mye
Tmem51	Mye
C3ar1	Mye
Pltp	Mye
Pros1	Mye
Stx3	Mye
Cd68	Mye
Atp6v0d2	Mye
Vwa5a	Mye
E230016K23Rik	Mye
Ugt1a7c	Mye
F13a1	Mye
Ugt1a10	Mye
Slfn5	Mye
Susd3	Mye
Hmga2-ps1	Mye
Ms4a8a	Mye
Klf4	Mye
Ms4a6c	Mye
Ccl9	Mye
Mx1	Mye
Gapt	Mye
Pld4	Mye
Ear7	Mye
Ap1s2	Mye
Alox15	Mye
AI607873	Mye
Ctsc	Mye
Pde7b	Mye
Ifit3	Mye
Inpp5j	Mye
Tnip3	Mye
Ccr2	Mye
Siglec5	Mye
Ndrg1	Mye
P2rx7	Mye
Trem2	Mye
Nlrp1a	Mye
Alpk1	Mye
Clec10a	Mye
Lamp1	Mye
Vim	Mye
Kcne3	Mye
Ugt1a9	Mye
AF251705	Mye
Gm1673	Mye
Fam20c	Mye
Sirpb1b	Mye
Ifi30	Mye
Ctsk	Mye
4930412C18Rik	Mye
Rnase4	Mye
Ly6c2	Mye
Clec4b1	Mye
Stxbp6	Mye
Ugt1a2	Mye
Apobec1	Mye
Eif4e3	Mye
Phf11a	Mye
Ehd4	Mye
Ugt1a6a	Mye
Rilp	Mye
Fcgrt	Mye
Tns4	Mye
Ifitm3	Mye
Sestd1	Mye
Abcd2	Mye
Soat1	Mye
Cybb	Mye
Ear1	Mye
Cd209c	Mye
Trex1	Mye
Dnajb14	Mye
Il18	Mye
Clec4a1	Mye
Phf11d	Mye
Plxnd1	Mye
Gpx3	Mye
Tep1	Mye
Mpeg1	Mye
Ms4a6d	Mye
Smpdl3a	Mye
Plcb1	Mye
Rnf217	Mye
Hpse	Mye
Ear6	Mye
Gpr141	Mye
F10	Mye
Gamt	Mye
Phf11b	Mye
Pkdcc	Mye
Lst1	Mye
Il13ra1	Mye
Mnda	Mye
Lrp1	Mye
Atp6v1b2	Mye
Sgce	Prog
Vpreb3	Prog
Mecom	Prog
Mdfi	Prog
Hoxa9	Prog
Smtn	Prog
Gm5124	Prog
Gfra1	Prog
Kank2	Prog
Csrp3	Prog
Nr0b2	Prog
Fut1	Prog
Mpl	Prog
Dkkl1	Prog
Dio2	Prog
Muc13	Prog
1700102H20Rik	Prog
Map9	Prog
Shank3	Prog
Rag1	Prog
Stxbp1	Prog
Obsl1	Prog
2900026A02Rik	Prog
Ccl27a	Prog
Tnfrsf17	Prog
Mn1	Prog
Meis1	Prog
Alpl	Prog
Fam221a	Prog
Grb10	Prog
Gna14	Prog
Dntt	Prog
Bgn	Prog
Ccdc149	Prog
Zbed3	Prog
Tle6	Prog
Armcx1	Prog
Vegfa	Prog
Krt18	Prog
Efcc1	Prog
Epha2	Prog
Trpc6	Prog
Ifitm7	Prog
Ptk7	Prog
Efna4	Prog
Bcat1	Prog
Ncs1	Prog
Arpp21	Prog
Chst1	Prog
Nkx2-3	Prog
Afap1l1	Prog
Sdc1	Prog
Rtkn	Prog
Sapcd1	Prog
Rnf208	Prog
Lphn2	Prog
Prlr	Prog
Wfdc2	Prog
Mif	Prog
Pon3	Prog
Fam69b	Prog
Aldh7a1	Prog
Fam64a	Prog
Fkbp11	Prog
Wnt10a	Prog
Rab38	Prog
Serf1	Prog
Nrxn1	Prog
Gpr125	Prog
Emp1	Prog
Txnrd3	Prog
Cep170b	Prog
Txndc5	Prog
2610307P16Rik	Prog
4930520O04Rik	Prog
Meg3	Prog
Tceal5	Prog
Myl10	Prog
Pls1	Prog
Cyp2j6	Prog
Tmem121	Prog
Uaca	Prog
Sdsl	Prog
Cldn7	Prog
Ly6k	Prog
Slc16a11	Prog
Prkcdbp	Prog
Pafah2	Prog
Mfsd4	Prog
Msrb3	Prog
Csgalnact1	Prog
Fam65a	Prog
Sh2d5	Prog
Arhgef25	Prog
Vpreb2	Prog
Rnase12	Prog
Rpp40	Prog
Egfl7	Prog
Col4a2	Prog
Zfp428	Prog
Epb4	Prog
Pf4	Prog
Ak4	Prog
Il17re	Prog
Krt10	Prog
Lrrc49	Prog
Etl4	Prog
Pebp1	Prog
Hlf	Prog
Bfsp2	Prog
Evc2	Prog
Tnfrsf19	Prog
Phlda2	Prog
2610524H06Rik	Prog
Pcp4l1	Prog
Sox4	Prog
Npdc1	Prog
Oosp1	Prog
Prkg1	Prog
Irak1bp1	Prog
Ccdc135	Prog
H19	Prog
Sgsm1	Prog
Pycr1	Prog
Hnf4a	Prog
Igj	Prog
Mmp11	Prog
Mycn	Prog
Rcor2	Prog
Slc18a2	Prog
Gm973	Prog
Gata2	Prog
Rhobtb3	Prog
Slc7a4	Prog
Col4a1	Prog
Fxyd6	Prog
Mt2	Prog
Fgd1	Prog
Flywch2	Prog
Odf3b	Prog
Sspo	Prog
Uchl1	Prog
Ociad2	Prog
Kif17	Prog
Eltd1	Prog
Cplx2	Prog
Cul7	Prog
Cyp2j9	Prog
Mthfd2l	Prog
Hspd1	Prog
Fgd5	Prog
Rpl37a	Prog
Abhd14a	Prog
Nlgn2	Prog
Bex1	Prog
Gpr56	Prog
Pomgnt2	Prog
Prdm16	Prog
Serpinf1	Prog
Mnd1	Prog
Islr	Prog
Myct1	Prog
Igll1	Prog
Trim47	Prog
Prdm5	Prog
9030619P08Rik	Prog
Tmem98	Prog
Bcam	Prog
Ccr10	Prog
Pbx4	Prog
Gp5	Prog
Robo4	Prog
5930403L14Rik	Prog
Gstm7	Prog
AI661453	Prog
Gng11	Prog
2700046G09Rik	Prog
Tie1	Prog
Arhgef28	Prog
Tmem91	Prog
Fbp1	Prog
Ankrd24	Prog
Nrgn	Prog
1500009L16Rik	Prog
Ptrf	Prog
Derl3	Prog
Pcbd1	Prog
Vpreb1	Prog
Coro2b	Prog
Samd12	Prog
Scn4b	Prog
Nynrin	Prog
Mt1	Prog
Gmpr	Prog
Dnph1	Prog
Bok	Prog
Bhlha15	Prog
