fastqs,sample,library_type
/usr/local/AGFORTELNY//PROJECTS/TfCf/NewData/ECCITE4/,WT_Exvivo_3expression_d7_02082021,Gene Expression
/usr/local/AGFORTELNY//PROJECTS/TfCf/NewData/ECCITE4/,WT_Exvivo_sgRNA_d7_02082021,CRISPR Guide Capture
