Factor	Complex
Kmt2a	COMPASS-MLL
Men1	COMPASS-MLL
Setdb1	Setdb1
Atf7ip	Setdb1
Rcor1	
Chd4	NurD
Rbbp4	NurD
Brd9	ncBAF
Hdac3	
Ash1l	
Smc2	
Prmt5	Prmts
Prmt1	Prmts
Carm1	Prmts
Bcl11a	
Phf10	
Smarcd1	
Smarcd2	
Kmt2d	
Setd1b	Set1
Wdr82	Set1
Smc3	Cohesin
Stag2	Cohesin
Cebpa	
