Gene	CF	Population
A330102I10Rik	Smarcb1	Leukemia
A430088P11Rik	Smarcb1	Leukemia
A530013C23Rik	Smarcb1	Leukemia
A630014C17Rik	Smarcb1	Leukemia
A630023P12Rik	Smarcb1	Leukemia
A630035G10Rik	Smarcb1	Leukemia
A630091E08Rik	Smarcb1	Leukemia
A730020E08Rik	Smarcb1	Leukemia
A930001M01Rik	Smarcb1	Leukemia
A930018P22Rik	Smarcb1	Leukemia
A930024E05Rik	Smarcb1	Leukemia
AC137513.1	Smarcb1	Leukemia
AC163347.1	Smarcb1	Leukemia
AL607142.1	Smarcb1	Leukemia
AW046200	Smarcb1	Leukemia
Aatk	Smarcb1	Leukemia
Abca4	Smarcb1	Leukemia
Abcb5	Smarcb1	Leukemia
Abcc1	Smarcb1	Leukemia
Abcd3	Smarcb1	Leukemia
Abcg1	Smarcb1	Leukemia
Abhd2	Smarcb1	Leukemia
Abraxas2	Smarcb1	Leukemia
Acad10	Smarcb1	Leukemia
Ackr3	Smarcb1	Leukemia
Actbl2	Smarcb1	Leukemia
Actn1	Smarcb1	Leukemia
Acvr1	Smarcb1	Leukemia
Acvr1c	Smarcb1	Leukemia
Acyp2	Smarcb1	Leukemia
Adam29	Smarcb1	Leukemia
Adamts14	Smarcb1	Leukemia
Adamts17	Smarcb1	Leukemia
Adamts6	Smarcb1	Leukemia
Adamtsl1	Smarcb1	Leukemia
Adcy9	Smarcb1	Leukemia
Adcyap1	Smarcb1	Leukemia
Adcyap1r1	Smarcb1	Leukemia
Add2	Smarcb1	Leukemia
Adgra3	Smarcb1	Leukemia
Adgre5	Smarcb1	Leukemia
Adgrf3	Smarcb1	Leukemia
Adgrg3	Smarcb1	Leukemia
Adipor2	Smarcb1	Leukemia
Adm2	Smarcb1	Leukemia
Adora2a	Smarcb1	Leukemia
Afap1l2	Smarcb1	Leukemia
Aff3	Smarcb1	Leukemia
Agbl1	Smarcb1	Leukemia
Ahrr	Smarcb1	Leukemia
Ahsg	Smarcb1	Leukemia
Aif1l	Smarcb1	Leukemia
Ak9	Smarcb1	Leukemia
Akap11	Smarcb1	Leukemia
Akap17b	Smarcb1	Leukemia
Akap7	Smarcb1	Leukemia
Akr1c21	Smarcb1	Leukemia
Akt3	Smarcb1	Leukemia
Albfm1	Smarcb1	Leukemia
Aldh1a3	Smarcb1	Leukemia
Aldh1l2	Smarcb1	Leukemia
Alpk2	Smarcb1	Leukemia
Ambn	Smarcb1	Leukemia
Ammecr1l	Smarcb1	Leukemia
Anapc4	Smarcb1	Leukemia
Ang6	Smarcb1	Leukemia
Angptl2	Smarcb1	Leukemia
Ankle1	Smarcb1	Leukemia
Ankra2	Smarcb1	Leukemia
Ankrd12	Smarcb1	Leukemia
Ankrd16	Smarcb1	Leukemia
Ankrd27	Smarcb1	Leukemia
Ankrd31	Smarcb1	Leukemia
Ankrd36	Smarcb1	Leukemia
Ankrd61	Smarcb1	Leukemia
Ano1	Smarcb1	Leukemia
Ano7	Smarcb1	Leukemia
Antxr2	Smarcb1	Leukemia
Anxa2	Smarcb1	Leukemia
Aoah	Smarcb1	Leukemia
Arhgap12	Smarcb1	Leukemia
Arhgap24	Smarcb1	Leukemia
Arhgap26	Smarcb1	Leukemia
Arhgap27os3	Smarcb1	Leukemia
Arid1b	Smarcb1	Leukemia
Arl11	Smarcb1	Leukemia
Arl2	Smarcb1	Leukemia
Armc1	Smarcb1	Leukemia
Armc2	Smarcb1	Leukemia
Asb14	Smarcb1	Leukemia
Asb7	Smarcb1	Leukemia
Asf1a	Smarcb1	Leukemia
Asns	Smarcb1	Leukemia
Astn2	Smarcb1	Leukemia
Atg7	Smarcb1	Leukemia
Atp13a2	Smarcb1	Leukemia
Atp2a2	Smarcb1	Leukemia
Atp2a3	Smarcb1	Leukemia
Atp4b	Smarcb1	Leukemia
Atp6v0e2	Smarcb1	Leukemia
Atp8b4	Smarcb1	Leukemia
Atp8b5	Smarcb1	Leukemia
Aven	Smarcb1	Leukemia
Axdnd1	Smarcb1	Leukemia
B230208B08Rik	Smarcb1	Leukemia
B230216N24Rik	Smarcb1	Leukemia
BC024139	Smarcb1	Leukemia
BC026513	Smarcb1	Leukemia
BC026762	Smarcb1	Leukemia
BC048507	Smarcb1	Leukemia
BC049987	Smarcb1	Leukemia
BC067074	Smarcb1	Leukemia
Babam2	Smarcb1	Leukemia
Bach2it1	Smarcb1	Leukemia
Bach2os	Smarcb1	Leukemia
Baiap3	Smarcb1	Leukemia
Bambi	Smarcb1	Leukemia
Bank1	Smarcb1	Leukemia
Bbs9	Smarcb1	Leukemia
Bbx	Smarcb1	Leukemia
Bcar1	Smarcb1	Leukemia
Bcas1os2	Smarcb1	Leukemia
Bcdin3d	Smarcb1	Leukemia
Bhlhe40	Smarcb1	Leukemia
Bicdl1	Smarcb1	Leukemia
Bicra	Smarcb1	Leukemia
Bivm	Smarcb1	Leukemia
Bmpr1a	Smarcb1	Leukemia
Bpifb4	Smarcb1	Leukemia
Brap	Smarcb1	Leukemia
Brd3	Smarcb1	Leukemia
Brd7	Smarcb1	Leukemia
Btbd8	Smarcb1	Leukemia
Btnl9	Smarcb1	Leukemia
C030037D09Rik	Smarcb1	Leukemia
C130026L21Rik	Smarcb1	Leukemia
C1qb	Smarcb1	Leukemia
C1qtnf7	Smarcb1	Leukemia
C330024C12Rik	Smarcb1	Leukemia
C430002N11Rik	Smarcb1	Leukemia
C6	Smarcb1	Leukemia
C730002L08Rik	Smarcb1	Leukemia
C730034F03Rik	Smarcb1	Leukemia
Cables1	Smarcb1	Leukemia
Cacna1b	Smarcb1	Leukemia
Cacng1	Smarcb1	Leukemia
Cacng5	Smarcb1	Leukemia
Calm5	Smarcb1	Leukemia
Capzb	Smarcb1	Leukemia
Car8	Smarcb1	Leukemia
Card11	Smarcb1	Leukemia
Carf	Smarcb1	Leukemia
Casp6	Smarcb1	Leukemia
Cast	Smarcb1	Leukemia
Cbln2	Smarcb1	Leukemia
Cc2d2b	Smarcb1	Leukemia
Ccar2	Smarcb1	Leukemia
Ccdc112	Smarcb1	Leukemia
Ccdc14	Smarcb1	Leukemia
Ccdc150	Smarcb1	Leukemia
Ccdc85c	Smarcb1	Leukemia
Ccl8	Smarcb1	Leukemia
Ccn3	Smarcb1	Leukemia
Ccnb2	Smarcb1	Leukemia
Ccnd1	Smarcb1	Leukemia
Ccr4	Smarcb1	Leukemia
Ccr9	Smarcb1	Leukemia
Cd163l1	Smarcb1	Leukemia
Cd200r4	Smarcb1	Leukemia
Cd244a	Smarcb1	Leukemia
Cd276	Smarcb1	Leukemia
Cd28	Smarcb1	Leukemia
Cd47	Smarcb1	Leukemia
Cd82	Smarcb1	Leukemia
Cd93	Smarcb1	Leukemia
Cdc42bpb	Smarcb1	Leukemia
Cdc42ep3	Smarcb1	Leukemia
Cdh11	Smarcb1	Leukemia
Cdh17	Smarcb1	Leukemia
Cdh26	Smarcb1	Leukemia
Cdh4	Smarcb1	Leukemia
Cdk2ap2	Smarcb1	Leukemia
Cdkal1	Smarcb1	Leukemia
Cdx1	Smarcb1	Leukemia
Celf2	Smarcb1	Leukemia
Cenpf	Smarcb1	Leukemia
Cfap53	Smarcb1	Leukemia
Cfap54	Smarcb1	Leukemia
Cfap57	Smarcb1	Leukemia
