Gene	CF	Population
Kcng1	Smarcb1	Shared
Kcnh2	Smarcb1	Shared
Kcnj1	Smarcb1	Shared
Kcnj6	Smarcb1	Shared
Kcnq5	Smarcb1	Shared
Kcns1	Smarcb1	Shared
Kcns2	Smarcb1	Shared
Kcnv2	Smarcb1	Shared
Krtdap	Smarcb1	Shared
Ksr1	Smarcb1	Shared
Lactbl1	Smarcb1	Shared
Lama4	Smarcb1	Shared
Layn	Smarcb1	Shared
Lef1	Smarcb1	Shared
Lgr4	Smarcb1	Shared
Lhfpl4	Smarcb1	Shared
Lhx9	Smarcb1	Shared
Lratd2	Smarcb1	Shared
Lrig1	Smarcb1	Shared
Lrrc1	Smarcb1	Shared
Lrrc17	Smarcb1	Shared
Lrrc4	Smarcb1	Shared
Ltk	Smarcb1	Shared
Magi2	Smarcb1	Shared
Mamdc2	Smarcb1	Shared
Maneal	Smarcb1	Shared
Map7	Smarcb1	Shared
Mast1	Smarcb1	Shared
Mcpt1	Smarcb1	Shared
Mctp2	Smarcb1	Shared
Medag	Smarcb1	Shared
Megf10	Smarcb1	Shared
Mesd	Smarcb1	Shared
Mgat4d	Smarcb1	Shared
Mgat5	Smarcb1	Shared
Mixl1	Smarcb1	Shared
Mllt3	Smarcb1	Shared
Mok	Smarcb1	Shared
Mrap	Smarcb1	Shared
Mrc2	Smarcb1	Shared
Mrm3	Smarcb1	Shared
Mt3	Smarcb1	Shared
Muc13	Smarcb1	Shared
Muc5b	Smarcb1	Shared
Myl4	Smarcb1	Shared
Mylip	Smarcb1	Shared
Mylk	Smarcb1	Shared
Myo10	Smarcb1	Shared
Myo15b	Smarcb1	Shared
Myo16	Smarcb1	Shared
Myof	Smarcb1	Shared
Ncdn	Smarcb1	Shared
Neb	Smarcb1	Shared
Nek7	Smarcb1	Shared
Nfatc1	Smarcb1	Shared
Nkain3	Smarcb1	Shared
Notch1	Smarcb1	Shared
Nprl3	Smarcb1	Shared
Nr2c1	Smarcb1	Shared
Nrarp	Smarcb1	Shared
Nrcam	Smarcb1	Shared
Nrxn3	Smarcb1	Shared
Nsun7	Smarcb1	Shared
Ntpcr	Smarcb1	Shared
Nudt14	Smarcb1	Shared
Nup160	Smarcb1	Shared
Nutf2-ps1	Smarcb1	Shared
Nwd1	Smarcb1	Shared
Odf2l	Smarcb1	Shared
Olfm5	Smarcb1	Shared
Olfr545	Smarcb1	Shared
Os9	Smarcb1	Shared
P3h4	Smarcb1	Shared
Pak6	Smarcb1	Shared
Papss2	Smarcb1	Shared
Pcsk9	Smarcb1	Shared
Pdcl3	Smarcb1	Shared
Pde10a	Smarcb1	Shared
Pef1	Smarcb1	Shared
Pkd2l1	Smarcb1	Shared
Platr11	Smarcb1	Shared
Pld6	Smarcb1	Shared
Plxna4os1	Smarcb1	Shared
Pnmt	Smarcb1	Shared
Polr2b	Smarcb1	Shared
Ppef1	Smarcb1	Shared
Ppm1l	Smarcb1	Shared
Prdm1	Smarcb1	Shared
Prdm5	Smarcb1	Shared
Prex2	Smarcb1	Shared
Prickle1	Smarcb1	Shared
Prkcq	Smarcb1	Shared
Prok1	Smarcb1	Shared
Proser2	Smarcb1	Shared
Prune2	Smarcb1	Shared
Psmg4	Smarcb1	Shared
Rab3c	Smarcb1	Shared
Rai14	Smarcb1	Shared
Rasgrp3	Smarcb1	Shared
Rcc2	Smarcb1	Shared
Rep15	Smarcb1	Shared
Rev3l	Smarcb1	Shared
Rflna	Smarcb1	Shared
Rgs9bp	Smarcb1	Shared
Rhbg	Smarcb1	Shared
Rhod	Smarcb1	Shared
Rnf141	Smarcb1	Shared
Rnf182	Smarcb1	Shared
Rph3a	Smarcb1	Shared
Rpl11	Smarcb1	Shared
Rpn1	Smarcb1	Shared
Rtn4r	Smarcb1	Shared
Rufy1	Smarcb1	Shared
S1pr3	Smarcb1	Shared
Scn10a	Smarcb1	Shared
Selp	Smarcb1	Shared
Sema3g	Smarcb1	Shared
Sertad2	Smarcb1	Shared
Setd3	Smarcb1	Shared
Setmar	Smarcb1	Shared
Sfmbt2	Smarcb1	Shared
Sgk2	Smarcb1	Shared
Sgsm1	Smarcb1	Shared
Sh2d4a	Smarcb1	Shared
Sh3bgrl3	Smarcb1	Shared
Sh3bp4	Smarcb1	Shared
Sh3pxd2a	Smarcb1	Shared
Shfl	Smarcb1	Shared
Six6	Smarcb1	Shared
Ski	Smarcb1	Shared
Slamf1	Smarcb1	Shared
Slc16a12	Smarcb1	Shared
Slc17a1	Smarcb1	Shared
Slc22a16	Smarcb1	Shared
Slc26a4	Smarcb1	Shared
Slc28a1	Smarcb1	Shared
Slc35d3	Smarcb1	Shared
Slc38a2	Smarcb1	Shared
Slc46a3	Smarcb1	Shared
Slc4a10	Smarcb1	Shared
Slc4a7	Smarcb1	Shared
Slc6a4	Smarcb1	Shared
Slc9a5	Smarcb1	Shared
Smad2	Smarcb1	Shared
Smagp	Smarcb1	Shared
Smco4	Smarcb1	Shared
Smtnl2	Smarcb1	Shared
Soga3	Smarcb1	Shared
Sowahb	Smarcb1	Shared
Sox12	Smarcb1	Shared
Sox4	Smarcb1	Shared
Sox5	Smarcb1	Shared
Stt3b	Smarcb1	Shared
Sugct	Smarcb1	Shared
Syde2	Smarcb1	Shared
Sypl	Smarcb1	Shared
Tab2	Smarcb1	Shared
Tbc1d2	Smarcb1	Shared
Tbc1d4	Smarcb1	Shared
Tcrg-C1	Smarcb1	Shared
Tead4	Smarcb1	Shared
Tet1	Smarcb1	Shared
Thbs4	Smarcb1	Shared
Tiam2	Smarcb1	Shared
Tle6	Smarcb1	Shared
Tlr4	Smarcb1	Shared
Tmem181a	Smarcb1	Shared
Tmem30b	Smarcb1	Shared
Tmx3	Smarcb1	Shared
Tnfrsf17	Smarcb1	Shared
Tprgl	Smarcb1	Shared
Trav4-2	Smarcb1	Shared
Trim38	Smarcb1	Shared
Trim71	Smarcb1	Shared
Trmt1	Smarcb1	Shared
Trmt9b	Smarcb1	Shared
Tsen15	Smarcb1	Shared
Tvp23bos	Smarcb1	Shared
Tyro3	Smarcb1	Shared
Ubr4	Smarcb1	Shared
Upb1	Smarcb1	Shared
Vamp9	Smarcb1	Shared
Vit	Smarcb1	Shared
Vtcn1	Smarcb1	Shared
Wdr34	Smarcb1	Shared
Wnt11	Smarcb1	Shared
Wnt16	Smarcb1	Shared
Wnt6	Smarcb1	Shared
Wwox	Smarcb1	Shared
Zbtb7c	Smarcb1	Shared
Zeb2os	Smarcb1	Shared
Zfp174	Smarcb1	Shared
Zfp467	Smarcb1	Shared
Zfp568	Smarcb1	Shared
Zfp664	Smarcb1	Shared
Zfp704	Smarcb1	Shared
Zfpm1	Smarcb1	Shared
0610012D04Rik	Smarcb1	GMP
0610033M10Rik	Smarcb1	GMP
1010001N08Rik	Smarcb1	GMP
1110002O04Rik	Smarcb1	GMP
1110018N20Rik	Smarcb1	GMP
1500009L16Rik	Smarcb1	GMP
1700001D01Rik	Smarcb1	GMP
1700001K19Rik	Smarcb1	GMP
1700001N15Rik	Smarcb1	GMP
1700010G06Rik	Smarcb1	GMP
1700011L22Rik	Smarcb1	GMP
1700012D16Rik	Smarcb1	GMP
1700012I11Rik	Smarcb1	GMP
1700015H07Rik	Smarcb1	GMP
1700018P08Rik	Smarcb1	GMP
1700019E08Rik	Smarcb1	GMP
1700021F05Rik	Smarcb1	GMP
1700025N23Rik	Smarcb1	GMP
1700028K03Rik	Smarcb1	GMP
1700029J03Rik	Smarcb1	GMP
1700029M03Rik	Smarcb1	GMP
1700030L22Rik	Smarcb1	GMP
1700030O20Rik	Smarcb1	GMP
1700036G14Rik	Smarcb1	GMP
1700042O10Rik	Smarcb1	GMP
1700049E22Rik	Smarcb1	GMP
1700056E22Rik	Smarcb1	GMP
1700061F12Rik	Smarcb1	GMP
1700066B17Rik	Smarcb1	GMP
1700069B07Rik	Smarcb1	GMP
1700092K14Rik	Smarcb1	GMP
1700108F19Rik	Smarcb1	GMP
1700122O11Rik	Smarcb1	GMP
1810046K07Rik	Smarcb1	GMP
2010001K21Rik	Smarcb1	GMP
2310026L22Rik	Smarcb1	GMP
2310075C17Rik	Smarcb1	GMP
2310081O03Rik	Smarcb1	GMP
2610204G07Rik	Smarcb1	GMP
2700046A07Rik	Smarcb1	GMP
2810454H06Rik	Smarcb1	GMP
3300005D01Rik	Smarcb1	GMP
4831440D22Rik	Smarcb1	GMP
4921501I09Rik	Smarcb1	GMP
4930404H11Rik	Smarcb1	GMP
4930405D01Rik	Smarcb1	GMP
4930405O22Rik	Smarcb1	GMP
4930412L05Rik	Smarcb1	GMP
4930422C21Rik	Smarcb1	GMP
4930422I22Rik	Smarcb1	GMP
4930431P03Rik	Smarcb1	GMP
4930431P22Rik	Smarcb1	GMP
4930432J09Rik	Smarcb1	GMP
4930432L08Rik	Smarcb1	GMP
4930432M17Rik	Smarcb1	GMP
4930434J06Rik	Smarcb1	GMP
4930439D14Rik	Smarcb1	GMP
4930449E18Rik	Smarcb1	GMP
4930452L12Rik	Smarcb1	GMP
4930466I24Rik	Smarcb1	GMP
4930471E19Rik	Smarcb1	GMP
4930488N15Rik	Smarcb1	GMP
4930500A05Rik	Smarcb1	GMP
4930500F04Rik	Smarcb1	GMP
4930504D19Rik	Smarcb1	GMP
4930511E03Rik	Smarcb1	GMP
4930517M08Rik	Smarcb1	GMP
4930517O19Rik	Smarcb1	GMP
4930526H09Rik	Smarcb1	GMP
4930529N20Rik	Smarcb1	GMP
4930540M05Rik	Smarcb1	GMP
4930548J01Rik	Smarcb1	GMP
4930555A03Rik	Smarcb1	GMP
4930556N13Rik	Smarcb1	GMP
4930563I02Rik	Smarcb1	GMP
4930570B17Rik	Smarcb1	GMP
4930570G19Rik	Smarcb1	GMP
4930573C15Rik	Smarcb1	GMP
4930578N18Rik	Smarcb1	GMP
4930583P06Rik	Smarcb1	GMP
4930590L14Rik	Smarcb1	GMP
4930592C13Rik	Smarcb1	GMP
4933401H06Rik	Smarcb1	GMP
4933402J07Rik	Smarcb1	GMP
4933402J15Rik	Smarcb1	GMP
4933404K13Rik	Smarcb1	GMP
4933405E24Rik	Smarcb1	GMP
4933408J17Rik	Smarcb1	GMP
4933412E24Rik	Smarcb1	GMP
4933413C19Rik	Smarcb1	GMP
4933417E11Rik	Smarcb1	GMP
4933425D22Rik	Smarcb1	GMP
4933429O19Rik	Smarcb1	GMP
4933430N04Rik	Smarcb1	GMP
4933434P08Rik	Smarcb1	GMP
4933440M02Rik	Smarcb1	GMP
5031425F14Rik	Smarcb1	GMP
5031439G07Rik	Smarcb1	GMP
5033403F01Rik	Smarcb1	GMP
5033406O09Rik	Smarcb1	GMP
5430427N15Rik	Smarcb1	GMP
5430440P10Rik	Smarcb1	GMP
6030440G07Rik	Smarcb1	GMP
6030458C11Rik	Smarcb1	GMP
6330403L08Rik	Smarcb1	GMP
6330415G19Rik	Smarcb1	GMP
9330117O12Rik	Smarcb1	GMP
9430078K24Rik	Smarcb1	GMP
9630028H03Rik	Smarcb1	GMP
A130077B15Rik	Smarcb1	GMP
A1cf	Smarcb1	GMP
A230028O05Rik	Smarcb1	GMP
A230051N06Rik	Smarcb1	GMP
A330043C09Rik	Smarcb1	GMP
A430018G15Rik	Smarcb1	GMP
A430090L17Rik	Smarcb1	GMP
A530001N23Rik	Smarcb1	GMP
A630012P03Rik	Smarcb1	GMP
A730020E08Rik	Smarcb1	GMP
A730020M07Rik	Smarcb1	GMP
A730043L09Rik	Smarcb1	GMP
A730046J19Rik	Smarcb1	GMP
A830019L24Rik	Smarcb1	GMP
A830031A19Rik	Smarcb1	GMP
A930002C04Rik	Smarcb1	GMP
A930012L18Rik	Smarcb1	GMP
A930012O16Rik	Smarcb1	GMP
AC103362.1	Smarcb1	GMP
AC156546.1	Smarcb1	GMP
AC163347.1	Smarcb1	GMP
AL607142.1	Smarcb1	GMP
Aasdh	Smarcb1	GMP
Abcb1b	Smarcb1	GMP
Abcg2	Smarcb1	GMP
Ablim2	Smarcb1	GMP
Ablim3	Smarcb1	GMP
Acacb	Smarcb1	GMP
Ackr2	Smarcb1	GMP
Adam11	Smarcb1	GMP
Adam23	Smarcb1	GMP
Adarb1	Smarcb1	GMP
Adgra2	Smarcb1	GMP
Adgrg1	Smarcb1	GMP
Adgrl4	Smarcb1	GMP
Adm	Smarcb1	GMP
Afap1l2	Smarcb1	GMP
Aff3	Smarcb1	GMP
Agpat5	Smarcb1	GMP
Ahcy	Smarcb1	GMP
Ahi1	Smarcb1	GMP
Aldh1a2	Smarcb1	GMP
Aldh1l1	Smarcb1	GMP
Ank2	Smarcb1	GMP
Ankrd29	Smarcb1	GMP
Anpep	Smarcb1	GMP
Arf4	Smarcb1	GMP
Arhgap15	Smarcb1	GMP
Arhgap26	Smarcb1	GMP
Arhgap32	Smarcb1	GMP
Arhgef28	Smarcb1	GMP
Arhgef3	Smarcb1	GMP
Arl4d	Smarcb1	GMP
Armcx4	Smarcb1	GMP
Ascl3	Smarcb1	GMP
Aspg	Smarcb1	GMP
Atg5	Smarcb1	GMP
Atl1	Smarcb1	GMP
Atp5g3	Smarcb1	GMP
Atp5mpl	Smarcb1	GMP
Atp6v0a2	Smarcb1	GMP
Atp6v0a4	Smarcb1	GMP
Atp8b2	Smarcb1	GMP
Atp8b4	Smarcb1	GMP
Atp8b5	Smarcb1	GMP
B230319C09Rik	Smarcb1	GMP
B3galt5	Smarcb1	GMP
B930025P03Rik	Smarcb1	GMP
BC017158	Smarcb1	GMP
BC043934	Smarcb1	GMP
Baalc	Smarcb1	GMP
Bach1	Smarcb1	GMP
Bach2it1	Smarcb1	GMP
Bach2os	Smarcb1	GMP
Bank1	Smarcb1	GMP
Bcas3os1	Smarcb1	GMP
Bcor	Smarcb1	GMP
Bdh2	Smarcb1	GMP
Bmper	Smarcb1	GMP
Bnc2	Smarcb1	GMP
Boc	Smarcb1	GMP
Bpifb5	Smarcb1	GMP
Bsn	Smarcb1	GMP
Btbd16	Smarcb1	GMP
Btbd3	Smarcb1	GMP
Btnl2	Smarcb1	GMP
C030034L19Rik	Smarcb1	GMP
C230014O12Rik	Smarcb1	GMP
C230072F16Rik	Smarcb1	GMP
Cacna1e	Smarcb1	GMP
Cadm1	Smarcb1	GMP
Camk2d	Smarcb1	GMP
Capn13	Smarcb1	GMP
Capn8	Smarcb1	GMP
Capza2	Smarcb1	GMP
Carmil1	Smarcb1	GMP
Casp14	Smarcb1	GMP
Casq2	Smarcb1	GMP
Cavin4	Smarcb1	GMP
Cbfa2t2	Smarcb1	GMP
Ccdc122	Smarcb1	GMP
Ccdc180	Smarcb1	GMP
Ccdc3	Smarcb1	GMP
Cckar	Smarcb1	GMP
Ccl27a	Smarcb1	GMP
Ccl27b	Smarcb1	GMP
Ccnd2	Smarcb1	GMP
Ccnl1	Smarcb1	GMP
Cd163	Smarcb1	GMP
Cd180	Smarcb1	GMP
Cd200	Smarcb1	GMP
Cd5l	Smarcb1	GMP
Cd72	Smarcb1	GMP
Cd79b	Smarcb1	GMP
Cd8b1	Smarcb1	GMP
Cd96	Smarcb1	GMP
Cdc5l	Smarcb1	GMP
Cdca7	Smarcb1	GMP
Cdh26	Smarcb1	GMP
Cdk5r2	Smarcb1	GMP
Cds1	Smarcb1	GMP
Cenpe	Smarcb1	GMP
Cep290	Smarcb1	GMP
Cep350	Smarcb1	GMP
Cfap44	Smarcb1	GMP
Cfap54	Smarcb1	GMP
Cfap99	Smarcb1	GMP
Cgnl1	Smarcb1	GMP
Ch25h	Smarcb1	GMP
Chd9	Smarcb1	GMP
Chl1	Smarcb1	GMP
Chn1os1	Smarcb1	GMP
Chrm1	Smarcb1	GMP
Chst3	Smarcb1	GMP
Clec16a	Smarcb1	GMP
Clip4	Smarcb1	GMP
Clstn3	Smarcb1	GMP
Cnksr3	Smarcb1	GMP
Cnmd	Smarcb1	GMP
Cnn3	Smarcb1	GMP
Cnr1	Smarcb1	GMP
Col27a1	Smarcb1	GMP
Coro2b	Smarcb1	GMP
Cox8c	Smarcb1	GMP
Cpa6	Smarcb1	GMP
Cplane1	Smarcb1	GMP
Crb2	Smarcb1	GMP
Creb1	Smarcb1	GMP
Crebrf	Smarcb1	GMP
Crim1	Smarcb1	GMP
Cryzl2	Smarcb1	GMP
Cstad	Smarcb1	GMP
Ctnnd1	Smarcb1	GMP
Ctsc	Smarcb1	GMP
Cxcl12	Smarcb1	GMP
Cxcr4	Smarcb1	GMP
Cxxc5	Smarcb1	GMP
Cyp26a1	Smarcb1	GMP
Cyp2u1	Smarcb1	GMP
Cyp4a12b	Smarcb1	GMP
Cyp4v3	Smarcb1	GMP
Cyyr1	Smarcb1	GMP
D030024E09Rik	Smarcb1	GMP
D5Ertd579e	Smarcb1	GMP
D630045J12Rik	Smarcb1	GMP
D7Ertd443e	Smarcb1	GMP
D930032P07Rik	Smarcb1	GMP
Dab1	Smarcb1	GMP
Dbf4	Smarcb1	GMP
Dcn	Smarcb1	GMP
Ddhd1	Smarcb1	GMP
Ddit4	Smarcb1	GMP
Ddx4	Smarcb1	GMP
Dgkh	Smarcb1	GMP
Dgki	Smarcb1	GMP
Dhtkd1	Smarcb1	GMP
Diaph3	Smarcb1	GMP
Dip2c	Smarcb1	GMP
Dkk2	Smarcb1	GMP
Dlat	Smarcb1	GMP
Dlg2	Smarcb1	GMP
Dlg3	Smarcb1	GMP
Dlk1	Smarcb1	GMP
Dlk2	Smarcb1	GMP
Dnaja4	Smarcb1	GMP
Dnajb3	Smarcb1	GMP
Dnajc6	Smarcb1	GMP
Dnhd1	Smarcb1	GMP
Dntt	Smarcb1	GMP
Dop1b	Smarcb1	GMP
Dram1	Smarcb1	GMP
Dram2	Smarcb1	GMP
Drd3	Smarcb1	GMP
Dthd1	Smarcb1	GMP
Dusp2	Smarcb1	GMP
Dym	Smarcb1	GMP
Dync1i1	Smarcb1	GMP
Dync2li1	Smarcb1	GMP
Dyrk2	Smarcb1	GMP
Dzip1	Smarcb1	GMP
E130120K24Rik	Smarcb1	GMP
E130310I04Rik	Smarcb1	GMP
E330018M18Rik	Smarcb1	GMP
Ect2	Smarcb1	GMP
Edar	Smarcb1	GMP
Ednrb	Smarcb1	GMP
Efhb	Smarcb1	GMP
Efhc1	Smarcb1	GMP
Efna5	Smarcb1	GMP
Efnb1	Smarcb1	GMP
Ehf	Smarcb1	GMP
Elfn2	Smarcb1	GMP
Engase	Smarcb1	GMP
Enpep	Smarcb1	GMP
Eomes	Smarcb1	GMP
Epb41l4b	Smarcb1	GMP
Epc2	Smarcb1	GMP
Epha2	Smarcb1	GMP
Epha4	Smarcb1	GMP
Eri3	Smarcb1	GMP
Ets2	Smarcb1	GMP
Etv5	Smarcb1	GMP
Exoc6b	Smarcb1	GMP
Exph5	Smarcb1	GMP
Ext1	Smarcb1	GMP
Eya1	Smarcb1	GMP
Ezh2	Smarcb1	GMP
Fads3	Smarcb1	GMP
Faim2	Smarcb1	GMP
Fam107b	Smarcb1	GMP
Fam163b	Smarcb1	GMP
Fam168a	Smarcb1	GMP
Fam171a1	Smarcb1	GMP
Fam214a	Smarcb1	GMP
Fam3c	Smarcb1	GMP
Fam72a	Smarcb1	GMP
Fancm	Smarcb1	GMP
Far1os	Smarcb1	GMP
Farp1	Smarcb1	GMP
Fbxw4	Smarcb1	GMP
Fchsd2	Smarcb1	GMP
Fgf1	Smarcb1	GMP
Fgf8	Smarcb1	GMP
Flt1	Smarcb1	GMP
Focad	Smarcb1	GMP
Foxb2	Smarcb1	GMP
Fpgs	Smarcb1	GMP
Frrs1l	Smarcb1	GMP
Ftx	Smarcb1	GMP
G930045G22Rik	Smarcb1	GMP
Gabbr2	Smarcb1	GMP
Gadd45g	Smarcb1	GMP
Gadl1	Smarcb1	GMP
Galnt9	Smarcb1	GMP
Gap43	Smarcb1	GMP
Gata6	Smarcb1	GMP
Gcnt4	Smarcb1	GMP
Gfra1	Smarcb1	GMP
Gjd3	Smarcb1	GMP
Glce	Smarcb1	GMP
Gli2	Smarcb1	GMP
Gls	Smarcb1	GMP
Glul	Smarcb1	GMP
Gm10062	Smarcb1	GMP
Gm10138	Smarcb1	GMP
Gm10142	Smarcb1	GMP
Gm10203	Smarcb1	GMP
Gm10398	Smarcb1	GMP
Gm10421	Smarcb1	GMP
Gm10445	Smarcb1	GMP
Gm10532	Smarcb1	GMP
Gm10538	Smarcb1	GMP
Gm10556	Smarcb1	GMP
Gm10610	Smarcb1	GMP
Gm10790	Smarcb1	GMP
Gm10847	Smarcb1	GMP
Gm11491	Smarcb1	GMP
Gm11521	Smarcb1	GMP
Gm11579	Smarcb1	GMP
Gm11640	Smarcb1	GMP
Gm11697	Smarcb1	GMP
Gm11713	Smarcb1	GMP
Gm11714	Smarcb1	GMP
Gm11716	Smarcb1	GMP
Gm11820	Smarcb1	GMP
Gm12027	Smarcb1	GMP
Gm12052	Smarcb1	GMP
Gm12064	Smarcb1	GMP
Gm12185	Smarcb1	GMP
Gm12248	Smarcb1	GMP
Gm12408	Smarcb1	GMP
Gm12415	Smarcb1	GMP
Gm12480	Smarcb1	GMP
Gm12506	Smarcb1	GMP
Gm12514	Smarcb1	GMP
Gm12519	Smarcb1	GMP
Gm12649	Smarcb1	GMP
Gm12701	Smarcb1	GMP
Gm12958	Smarcb1	GMP
Gm13063	Smarcb1	GMP
Gm13175	Smarcb1	GMP
Gm13185	Smarcb1	GMP
Gm13307	Smarcb1	GMP
Gm13383	Smarcb1	GMP
Gm13405	Smarcb1	GMP
Gm13446	Smarcb1	GMP
Gm13497	Smarcb1	GMP
Gm13807	Smarcb1	GMP
Gm13833	Smarcb1	GMP
Gm13853	Smarcb1	GMP
Gm13872	Smarcb1	GMP
Gm13944	Smarcb1	GMP
Gm14019	Smarcb1	GMP
Gm14041	Smarcb1	GMP
Gm14262	Smarcb1	GMP
Gm14546	Smarcb1	GMP
Gm14582	Smarcb1	GMP
Gm15169	Smarcb1	GMP
Gm15201	Smarcb1	GMP
Gm15323	Smarcb1	GMP
Gm15401	Smarcb1	GMP
Gm15423	Smarcb1	GMP
Gm15478	Smarcb1	GMP
Gm15486	Smarcb1	GMP
Gm15503	Smarcb1	GMP
Gm15507	Smarcb1	GMP
Gm15511	Smarcb1	GMP
Gm15521	Smarcb1	GMP
Gm15556	Smarcb1	GMP
Gm15689	Smarcb1	GMP
Gm15774	Smarcb1	GMP
Gm15809	Smarcb1	GMP
Gm15810	Smarcb1	GMP
Gm15907	Smarcb1	GMP
Gm16063	Smarcb1	GMP
Gm16136	Smarcb1	GMP
Gm16183	Smarcb1	GMP
Gm16237	Smarcb1	GMP
Gm16299	Smarcb1	GMP
Gm16322	Smarcb1	GMP
Gm16323	Smarcb1	GMP
Gm16364	Smarcb1	GMP
Gm16551	Smarcb1	GMP
Gm16552	Smarcb1	GMP
Gm17066	Smarcb1	GMP
Gm17088	Smarcb1	GMP
Gm17099	Smarcb1	GMP
Gm17160	Smarcb1	GMP
Gm17216	Smarcb1	GMP
Gm17396	Smarcb1	GMP
Gm17473	Smarcb1	GMP
Gm17546	Smarcb1	GMP
Gm19461	Smarcb1	GMP
Gm19519	Smarcb1	GMP
Gm20402	Smarcb1	GMP
Gm20416	Smarcb1	GMP
Gm20560	Smarcb1	GMP
Gm20682	Smarcb1	GMP
Gm2109	Smarcb1	GMP
Gm21961	Smarcb1	GMP
Gm21980	Smarcb1	GMP
Gm2233	Smarcb1	GMP
Gm2447	Smarcb1	GMP
Gm26535	Smarcb1	GMP
Gm26666	Smarcb1	GMP
Gm26704	Smarcb1	GMP
Gm26744	Smarcb1	GMP
Gm26801	Smarcb1	GMP
Gm26810	Smarcb1	GMP
Gm26815	Smarcb1	GMP
Gm26854	Smarcb1	GMP
Gm26971	Smarcb1	GMP
Gm27216	Smarcb1	GMP
Gm28055	Smarcb1	GMP
Gm28083	Smarcb1	GMP
Gm28086	Smarcb1	GMP
Gm28166	Smarcb1	GMP
Gm28287	Smarcb1	GMP
Gm28375	Smarcb1	GMP
Gm28401	Smarcb1	GMP
Gm28548	Smarcb1	GMP
Gm28609	Smarcb1	GMP
Gm28641	Smarcb1	GMP
Gm28643	Smarcb1	GMP
Gm28710	Smarcb1	GMP
Gm28722	Smarcb1	GMP
Gm28818	Smarcb1	GMP
Gm28875	Smarcb1	GMP
Gm2895	Smarcb1	GMP
Gm29019	Smarcb1	GMP
Gm29083	Smarcb1	GMP
Gm29395	Smarcb1	GMP
Gm29482	Smarcb1	GMP
Gm29530	Smarcb1	GMP
Gm29677	Smarcb1	GMP
Gm29682	Smarcb1	GMP
Gm29684	Smarcb1	GMP
Gm29685	Smarcb1	GMP
Gm29771	Smarcb1	GMP
Gm29927	Smarcb1	GMP
Gm30052	Smarcb1	GMP
Gm30085	Smarcb1	GMP
Gm30093	Smarcb1	GMP
Gm30173	Smarcb1	GMP
Gm30329	Smarcb1	GMP
Gm30420	Smarcb1	GMP
Gm30459	Smarcb1	GMP
Gm30570	Smarcb1	GMP
Gm30691	Smarcb1	GMP
Gm31121	Smarcb1	GMP
Gm31378	Smarcb1	GMP
Gm31562	Smarcb1	GMP
Gm31641	Smarcb1	GMP
Gm31814	Smarcb1	GMP
Gm31912	Smarcb1	GMP
Gm32017	Smarcb1	GMP
Gm32281	Smarcb1	GMP
Gm32282	Smarcb1	GMP
Gm32432	Smarcb1	GMP
Gm32468	Smarcb1	GMP
Gm32552	Smarcb1	GMP
Gm32592	Smarcb1	GMP
Gm32913	Smarcb1	GMP
Gm33201	Smarcb1	GMP
Gm33677	Smarcb1	GMP
Gm33728	Smarcb1	GMP
Gm34225	Smarcb1	GMP
Gm3455	Smarcb1	GMP
Gm34639	Smarcb1	GMP
Gm35135	Smarcb1	GMP
Gm35172	Smarcb1	GMP
Gm3519	Smarcb1	GMP
Gm35229	Smarcb1	GMP
Gm35248	Smarcb1	GMP
Gm35409	Smarcb1	GMP
Gm35569	Smarcb1	GMP
Gm35584	Smarcb1	GMP
Gm35732	Smarcb1	GMP
Gm35865	Smarcb1	GMP
Gm35883	Smarcb1	GMP
Gm36033	Smarcb1	GMP
Gm36186	Smarcb1	GMP
Gm36201	Smarcb1	GMP
Gm36241	Smarcb1	GMP
Gm36447	Smarcb1	GMP
Gm36535	Smarcb1	GMP
Gm36548	Smarcb1	GMP
Gm36617	Smarcb1	GMP
Gm36988	Smarcb1	GMP
Gm37068	Smarcb1	GMP
Gm37223	Smarcb1	GMP
Gm37280	Smarcb1	GMP
Gm37359	Smarcb1	GMP
Gm37494	Smarcb1	GMP
Gm37573	Smarcb1	GMP
Gm37623	Smarcb1	GMP
Gm37821	Smarcb1	GMP
Gm37855	Smarcb1	GMP
Gm37923	Smarcb1	GMP
Gm37944	Smarcb1	GMP
Gm38326	Smarcb1	GMP
Gm38554	Smarcb1	GMP
Gm38575	Smarcb1	GMP
Gm38695	Smarcb1	GMP
Gm38811	Smarcb1	GMP
Gm38825	Smarcb1	GMP
Gm4035	Smarcb1	GMP
Gm40437	Smarcb1	GMP
Gm40608	Smarcb1	GMP
Gm40932	Smarcb1	GMP
Gm41492	Smarcb1	GMP
Gm41669	Smarcb1	GMP
Gm41764	Smarcb1	GMP
Gm42425	Smarcb1	GMP
Gm42439	Smarcb1	GMP
Gm42595	Smarcb1	GMP
Gm42682	Smarcb1	GMP
Gm42901	Smarcb1	GMP
Gm42920	Smarcb1	GMP
Gm42937	Smarcb1	GMP
Gm43256	Smarcb1	GMP
Gm43376	Smarcb1	GMP
Gm43464	Smarcb1	GMP
Gm43597	Smarcb1	GMP
Gm44009	Smarcb1	GMP
Gm44127	Smarcb1	GMP
Gm44129	Smarcb1	GMP
Gm44196	Smarcb1	GMP
Gm44210	Smarcb1	GMP
Gm44515	Smarcb1	GMP
Gm44516	Smarcb1	GMP
Gm44731	Smarcb1	GMP
