fastqs,sample,library_type
/usr/local/AGFORTELNY//PROJECTS/TfCf/NewData/ECCITE7/,SITTE8,Gene Expression
/usr/local/AGFORTELNY//PROJECTS/TfCf/NewData/ECCITE7/,SINTA9,CRISPR Guide Capture
