fastqs,sample,library_type
/usr/local/AGFORTELNY//PROJECTS/TfCf/RawData/Raw_ECCITE3/demux_fastq/,T_high_3expression_d7_24052021,Gene Expression
/usr/local/AGFORTELNY//PROJECTS/TfCf/RawData/Raw_ECCITE3/demux_fastq/,T_high_sgRNA_d7_24052021,CRISPR Guide Capture
/usr/local/AGFORTELNY//PROJECTS/TfCf/RawData/Raw_ECCITE3/demux_fastq/,T_high_3expression_d7_24052021,CRISPR Guide Capture
