Factor
Bcl11a
Smarcd2
Smarcd1
Phf10
Setd1b
Wdr82
Kdm6a
Kmt2d
Kmt2a
Men1
Prmt5
Prmt1
Carm1
Smc3
Stag2
Smc2
Rcor1
Chmp2a
Ehmt1
Ehmt2
Setdb1
Atf7ip
Mbd2
Chd4
Rbbp4
Hdac1
Hdac3
Ash1l
Spi1
Cebpa
