DB	Celltype	Quality	FinalName	Color
Merge	HSC	Good	HSC	#ff7f00
Merge	Mono	OK	Mono	#fb9a99
Merge	Neu	OK	Neu	#cab2d6
Merge	MkP	Good	MkP	#a6cee3
Merge	Ery	Good	Ery	#6a3d9a
